ID	Gene Name	Species	OFFICIAL_GENE_SYMBOL
ENSMUSG00000025395	DNA primase, p49 subunit	Mus musculus	PRIM1,
ENSMUSG00000020107	DNA segment, Chr 10, ERATO Doi 641, expressed	Mus musculus	ANAPC16,
ENSMUSG00000027331	DNA segment, Chr 2, ERATO Doi 750, expressed	Mus musculus	D2Ertd750e,
ENSMUSG00000037266	DNA segment, Chr 4, Wayne State University 53, expressed	Mus musculus	D4Wsu53e,
ENSMUSG00000025408	DNA-damage inducible transcript 3	Mus musculus	DDIT3,
ENSMUSG00000020108	DNA-damage-inducible transcript 4	Mus musculus	ddit4,
ENSMUSG00000027635	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	DSN1,
ENSMUSG00000041268	Dmx-like 2	Mus musculus	DMXL2,
ENSMUSG00000005483	DnaJ (Hsp40) homolog, subfamily B, member 1	Mus musculus	DNAJB1,
ENSMUSG00000029131	DnaJ (Hsp40) homolog, subfamily B, member 6; predicted gene 5917; predicted gene 15785; predicted gene 4852; predicted gene 2541	Mus musculus	DNAJB6,Gm15785,Gm2541,Gm4852,Gm5917,
ENSMUSG00000022136	DnaJ (Hsp40) homolog, subfamily C, member 3	Mus musculus	DNAJC3,
ENSMUSG00000055024	E1A binding protein p300	Mus musculus	EP300,
ENSMUSG00000027490	E2F transcription factor 1	Mus musculus	E2F1,
ENSMUSG00000018983	E2F transcription factor 2	Mus musculus	E2f2,
ENSMUSG00000016477	E2F transcription factor 3	Mus musculus	E2F3,
ENSMUSG00000014859	E2F transcription factor 4	Mus musculus	e2f4,
ENSMUSG00000027552	E2F transcription factor 5	Mus musculus	E2f5,
ENSMUSG00000057469	E2F transcription factor 6	Mus musculus	e2f6,
ENSMUSG00000020185	E2F transcription factor 7	Mus musculus	E2F7,
ENSMUSG00000046179	E2F transcription factor 8	Mus musculus	E2F8,
ENSMUSG00000024137	E4F transcription factor 1	Mus musculus	E4F1,
ENSMUSG00000003206	Epstein-Barr virus induced gene 3	Mus musculus	ebi3,
ENSMUSG00000020271	F-box and WD-40 domain protein 11	Mus musculus	Fbxw11,
ENSMUSG00000019773	F-box protein 5	Mus musculus	Fbxo5,
ENSMUSG00000021250	FBJ osteosarcoma oncogene	Mus musculus	FOS,
ENSMUSG00000024222	FK506 binding protein 5	Mus musculus	FKBP5,
ENSMUSG00000034023	Fanconi anemia, complementation group D2	Mus musculus	Fancd2,
ENSMUSG00000039187	Fanconi anemia, complementation group I	Mus musculus	fanci,
ENSMUSG00000027883	G-protein signalling modulator 2 (AGS3-like, C. elegans)	Mus musculus	Gpsm2,
ENSMUSG00000071723	G1 to S phase transition 2	Mus musculus	GSPT2,
ENSMUSG00000035293	G2/M-phase specific E3 ubiquitin ligase	Mus musculus	G2E3,
ENSMUSG00000027361	GA repeat binding protein, beta 1	Mus musculus	gabpb1,
ENSMUSG00000031821	GINS complex subunit 2 (Psf2 homolog)	Mus musculus	GINS2,
ENSMUSG00000031669	GINS complex subunit 3 (Psf3 homolog)	Mus musculus	gins3,
ENSMUSG00000025407	GLI-Kruppel family member GLI1	Mus musculus	GLI1,
ENSMUSG00000029198	GrpE-like 1, mitochondrial	Mus musculus	GRPEL1,
ENSMUSG00000049932	H2A histone family, member X	Mus musculus	H2afx,
ENSMUSG00000041840	HAUS augmin-like complex, subunit 1	Mus musculus	Haus1,
ENSMUSG00000027285	HAUS augmin-like complex, subunit 2	Mus musculus	HAUS2,
ENSMUSG00000022177	HAUS augmin-like complex, subunit 4	Mus musculus	haus4,
ENSMUSG00000038822	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	Mus musculus	HACE1,
ENSMUSG00000028109	HORMA domain containing 1; predicted gene 7167	Mus musculus	Gm7167,hormad1,
ENSMUSG00000034154	INO80 homolog (S. cerevisiae); similar to yeast INO80-like protein	Mus musculus	Ino80,LOC100048476,
ENSMUSG00000028068	IQ motif containing GTPase activating protein 3	Mus musculus	Iqgap3,
ENSMUSG00000052837	Jun-B oncogene	Mus musculus	junb,
ENSMUSG00000000708	K(lysine) acetyltransferase 2B; predicted gene 5109	Mus musculus	Gm5109,KAT2B,
ENSMUSG00000028790	KH domain containing, RNA binding, signal transduction associated 1	Mus musculus	Khdrbs1,
ENSMUSG00000033863	Kruppel-like factor 9	Mus musculus	KLF9,
ENSMUSG00000033306	LIM domain containing preferred translocation partner in lipoma	Mus musculus	lpp,
ENSMUSG00000023025	La ribonucleoprotein domain family, member 4; predicted gene 14373; predicted gene 8177	Mus musculus	Gm14373,Gm8177,Larp4,
ENSMUSG00000067367	Ly1 antibody reactive clone	Mus musculus	LYAR,
ENSMUSG00000029003	MAD2 mitotic arrest deficient-like 2 (yeast)	Mus musculus	mad2l2,
ENSMUSG00000044345	MARVEL (membrane-associating) domain containing 1	Mus musculus	Marveld1,
ENSMUSG00000040599	MIS12 homolog (yeast)	Mus musculus	MIS12,
ENSMUSG00000022369	Mdm2, transformed 3T3 cell double minute p53 binding protein	Mus musculus	MTBP,
ENSMUSG00000024056	NDC80 homolog, kinetochore complex component (S. cerevisiae)	Mus musculus	NDC80,
ENSMUSG00000031644	NIMA (never in mitosis gene a)-related expressed kinase 1	Mus musculus	nek1,
ENSMUSG00000026622	NIMA (never in mitosis gene a)-related expressed kinase 2	Mus musculus	NEK2,
ENSMUSG00000031478	NIMA (never in mitosis gene a)-related expressed kinase 3	Mus musculus	NEK3,
ENSMUSG00000021918	NIMA (never in mitosis gene a)-related expressed kinase 4	Mus musculus	NEK4,
ENSMUSG00000026749	NIMA (never in mitosis gene a)-related expressed kinase 6	Mus musculus	Nek6,
ENSMUSG00000034290	NIMA (never in mitosis gene a)-related expressed kinase 9	Mus musculus	nek9,
ENSMUSG00000021595	NOL1/NOP2/Sun domain family member 2	Mus musculus	nsun2,
ENSMUSG00000062510	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	NSL1,
ENSMUSG00000002881	Ngfi-A binding protein 1	Mus musculus	NAB1,
ENSMUSG00000022141	Nipped-B homolog (Drosophila)	Mus musculus	nipbl,
ENSMUSG00000072980	Opa interacting protein 5	Mus musculus	Oip5,
ENSMUSG00000036779	PAP associated domain containing 5	Mus musculus	Papd5,
ENSMUSG00000034021	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	Mus musculus	PDS5B,
ENSMUSG00000022033	PDZ binding kinase	Mus musculus	PBK,
ENSMUSG00000071533	PEST proteolytic signal containing nuclear protein	Mus musculus	PCNP,
ENSMUSG00000028926	PFTAIRE protein kinase 1	Mus musculus	cdk14,
ENSMUSG00000047777	PHD finger protein 13	Mus musculus	phf13,
ENSMUSG00000041064	PIF1 5'-to-3' DNA helicase homolog (S. cerevisiae)	Mus musculus	PIF1,
ENSMUSG00000001785	PWP1 homolog (S. cerevisiae)	Mus musculus	PWP1,
ENSMUSG00000006705	Pbx/knotted 1 homeobox	Mus musculus	Pknox1,
ENSMUSG00000035437	RAB GTPase activating protein 1	Mus musculus	RABGAP1,
ENSMUSG00000037098	RAB11 family interacting protein 3 (class II)	Mus musculus	RAB11FIP3,
ENSMUSG00000017639	RAB11 family interacting protein 4 (class II)	Mus musculus	Rab11fip4,
ENSMUSG00000077450	RAB11B, member RAS oncogene family	Mus musculus	RAB11B,
ENSMUSG00000004771	RAB11a, member RAS oncogene family	Mus musculus	Rab11a,
ENSMUSG00000021635	RAD17 homolog (S. pombe)	Mus musculus	RAD17,
ENSMUSG00000022314	RAD21 homolog (S. pombe)	Mus musculus	RAD21,
ENSMUSG00000020380	RAD50 homolog (S. cerevisiae)	Mus musculus	rad50,
ENSMUSG00000028999	RAD50 interactor 1	Mus musculus	rint1,
ENSMUSG00000007646	RAD51 homolog c (S. cerevisiae)	Mus musculus	RAD51C,
ENSMUSG00000028702	RAD54 like (S. cerevisiae)	Mus musculus	RAD54L,
ENSMUSG00000022391	RAN GTPase activating protein 1	Mus musculus	rangap1,
ENSMUSG00000029430	RAS-like, family 2, locus 9; RAN, member RAS oncogene family; similar to RAN, member RAS oncogene family	Mus musculus	LOC100045999,LOC640204,Ran,Rasl2-9,
ENSMUSG00000025907	RB1-inducible coiled-coil 1	Mus musculus	RB1CC1,
ENSMUSG00000022677	RIKEN cDNA 0610037P05 gene	Mus musculus	0610037P05Rik,
ENSMUSG00000052934	RIKEN cDNA 1110003O08 gene	Mus musculus	1110003O08Rik,
ENSMUSG00000048170	RIKEN cDNA 1110007A13 gene	Mus musculus	1110007A13Rik,
ENSMUSG00000021671	RIKEN cDNA 1200014M14 gene	Mus musculus	poc5,
ENSMUSG00000029463	RIKEN cDNA 1500011H22 gene	Mus musculus	1500011H22Rik,
ENSMUSG00000038323	RIKEN cDNA 1700066M21 gene	Mus musculus	1700066M21Rik,
ENSMUSG00000049680	RIKEN cDNA 2010005J08 gene	Mus musculus	URGCP,
ENSMUSG00000026955	RIKEN cDNA 2010317E24 gene	Mus musculus	2010317E24Rik,
ENSMUSG00000044502	RIKEN cDNA 2310022M17 gene; predicted gene 7843	Mus musculus	BOD1,Gm7843,
ENSMUSG00000031729	RIKEN cDNA 2400003C14 gene	Mus musculus	2400003C14Rik,
ENSMUSG00000039801	RIKEN cDNA 2410089E03 gene	Mus musculus	2410089E03Rik,
ENSMUSG00000033186	RIKEN cDNA 2410129H14 gene	Mus musculus	2410129H14Rik,
ENSMUSG00000003039	RIKEN cDNA 2510049I19 gene	Mus musculus	Fam32a,
ENSMUSG00000075266	RIKEN cDNA 2610036L11 gene	Mus musculus	2610036L11Rik,
ENSMUSG00000022978	RIKEN cDNA 2610039C10 gene	Mus musculus	2610039C10Rik,
ENSMUSG00000033417	RIKEN cDNA 2700078E11 gene	Mus musculus	2700078E11Rik,
ENSMUSG00000036223	RIKEN cDNA 2810433K01 gene	Mus musculus	Ska1,
ENSMUSG00000021276	RIKEN cDNA 2810452K22 gene; similar to cyclin-dependent kinase 2-interacting protein	Mus musculus	CINP,LOC640972,
ENSMUSG00000030649	RIKEN cDNA 3200002M19 gene; predicted gene 6843; predicted gene 9364	Mus musculus	3200002M19Rik,Gm6843,Gm9364,
ENSMUSG00000030641	RIKEN cDNA 4632434I11 gene	Mus musculus	4632434I11Rik,
ENSMUSG00000056919	RIKEN cDNA 4922501C03 gene	Mus musculus	4922501C03Rik,
ENSMUSG00000037466	RIKEN cDNA 4930427A07 gene; hypothetical protein LOC100047736	Mus musculus	4930427A07Rik,LOC100047736,
ENSMUSG00000056260	RIKEN cDNA 4933421E11 gene	Mus musculus	4933421E11Rik,
ENSMUSG00000040250	RIKEN cDNA 4933424B01 gene	Mus musculus	4933424B01Rik,
ENSMUSG00000046591	RIKEN cDNA 5730590G19 gene; similar to RIKEN cDNA 5730590G19-like	Mus musculus	5730590G19Rik,LOC677447,
ENSMUSG00000048668	RIKEN cDNA 5930416I19 gene	Mus musculus	5930416I19Rik,
ENSMUSG00000020808	RIKEN cDNA 6720460F02 gene	Mus musculus	FAM64A,
ENSMUSG00000022070	RIKEN cDNA 6720463M24 gene	Mus musculus	6720463M24Rik,
ENSMUSG00000031858	RIKEN cDNA 9130404D08 gene	Mus musculus	9130404D08Rik,
ENSMUSG00000004085	RIKEN cDNA B230120H23 gene	Mus musculus	B230120H23Rik,
ENSMUSG00000033031	RIKEN cDNA C330027C09 gene	Mus musculus	C330027C09Rik,
ENSMUSG00000078773	RIKEN cDNA E130016E03 gene	Mus musculus	rad54b,
ENSMUSG00000021965	RIKEN cDNA F630043A04 gene	Mus musculus	F630043A04Rik,
ENSMUSG00000027510	RNA binding motif protein 38	Mus musculus	rbm38,
ENSMUSG00000023015	Rac GTPase-activating protein 1; predicted gene 1859	Mus musculus	Gm1859,racgap1,
ENSMUSG00000036202	Rap1 interacting factor 1 homolog (yeast)	Mus musculus	Rif1,
ENSMUSG00000010067	Ras association (RalGDS/AF-6) domain family member 1	Mus musculus	RASSF1,
ENSMUSG00000027339	Ras association (RalGDS/AF-6) domain family member 2	Mus musculus	RASSF2,
ENSMUSG00000042129	Ras association (RalGDS/AF-6) domain family member 4	Mus musculus	RASSF4,
ENSMUSG00000036106	Rho GTPase activating protein 8; proline rich 5 (renal)	Mus musculus	Arhgap8,prr5,
ENSMUSG00000021589	Rho-related BTB domain containing 3	Mus musculus	RHOBTB3,
ENSMUSG00000027646	Rous sarcoma oncogene	Mus musculus	Src,
ENSMUSG00000030079	RuvB-like protein 1	Mus musculus	Ruvbl1,
ENSMUSG00000024790	SAC3 domain containing 1	Mus musculus	SAC3D1,
ENSMUSG00000024941	SCY1-like 1 (S. cerevisiae)	Mus musculus	scyl1,
ENSMUSG00000027706	SEC62 homolog (S. cerevisiae)	Mus musculus	SEC62,
ENSMUSG00000079614	SEH1-like (S. cerevisiae	Mus musculus	seh1l,
ENSMUSG00000049327	SET domain containing (lysine methyltransferase) 8; predicted gene 8590	Mus musculus	Gm8590,Setd8,
ENSMUSG00000071350	SET domain, bifurcated 2	Mus musculus	SETDB2,
ENSMUSG00000028488	SH3-domain GRB2-like 2	Mus musculus	sh3gl2,
ENSMUSG00000074476	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	Spc24,
ENSMUSG00000005233	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	Mus musculus	spc25,
ENSMUSG00000069631	STE20-related kinase adaptor alpha	Mus musculus	STRADA,
ENSMUSG00000026389	STEAP family member 3	Mus musculus	STEAP3,
ENSMUSG00000022772	SUMO/sentrin specific peptidase 5	Mus musculus	Senp5,
ENSMUSG00000000902	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	Mus musculus	SMARCB1,
ENSMUSG00000028718	Scl/Tal1 interrupting locus	Mus musculus	STIL,
ENSMUSG00000022322	Shc SH2-domain binding protein 1	Mus musculus	SHCBP1,
ENSMUSG00000022961	Son DNA binding protein	Mus musculus	SON,
ENSMUSG00000031314	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor	Mus musculus	TAF1,
ENSMUSG00000037214	THAP domain containing, apoptosis associated protein 1	Mus musculus	Thap1,
ENSMUSG00000027469	TPX2, microtubule-associated protein homolog (Xenopus laevis)	Mus musculus	Tpx2,
ENSMUSG00000032586	TRAF-interacting protein	Mus musculus	TRAIP,
ENSMUSG00000041096	TSPY-like 2	Mus musculus	TSPYL2,
ENSMUSG00000038379	Ttk protein kinase	Mus musculus	ttk,
ENSMUSG00000012126	UBX domain protein 11	Mus musculus	Ubxn11,
ENSMUSG00000028413	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	Mus musculus	B4GALT1,
ENSMUSG00000058301	UPF1 regulator of nonsense transcripts homolog (yeast)	Mus musculus	UPF1,
ENSMUSG00000017677	WD repeat and SOCS box-containing 1	Mus musculus	WSB1,
ENSMUSG00000066357	WD repeat domain 6	Mus musculus	Wdr6,
ENSMUSG00000049354	WD repeat domain 68	Mus musculus	dcaf7,
ENSMUSG00000027242	WD repeat domain 76	Mus musculus	WDR76,
ENSMUSG00000031016	WEE 1 homolog 1 (S. pombe)	Mus musculus	wee1,
ENSMUSG00000018849	WW, C2 and coiled-coil domain containing 1	Mus musculus	WWC1,
ENSMUSG00000020171	YEATS domain containing 4	Mus musculus	Yeats4,
ENSMUSG00000032264	ZW10 homolog (Drosophila), centromere/kinetochore protein	Mus musculus	ZW10,
ENSMUSG00000019923	ZW10 interactor	Mus musculus	ZWINT,
ENSMUSG00000032400	Zwilch, kinetochore associated, homolog (Drosophila)	Mus musculus	ZWILCH,
ENSMUSG00000015749	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Mus musculus	ANP32E,
ENSMUSG00000029094	actin filament associated protein 1	Mus musculus	AFAP1,
ENSMUSG00000032883	acyl-CoA synthetase long-chain family member 3	Mus musculus	ACSL3,
ENSMUSG00000040760	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	Mus musculus	appl1,
ENSMUSG00000020263	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	Mus musculus	appl2,
ENSMUSG00000020198	adaptor-related protein complex 3, delta 1 subunit	Mus musculus	Ap3d1,
ENSMUSG00000032952	adaptor-related protein complex AP-4, beta 1	Mus musculus	AP4B1,
ENSMUSG00000022178	ajuba	Mus musculus	JUB,
ENSMUSG00000002661	alkB, alkylation repair homolog 7 (E. coli)	Mus musculus	Alkbh7,
ENSMUSG00000078651	amine oxidase, copper containing 2 (retina-specific)	Mus musculus	Aoc2,
ENSMUSG00000014355	anaphase promoting complex subunit 1	Mus musculus	ANAPC1,
ENSMUSG00000036977	anaphase promoting complex subunit 10	Mus musculus	anapc10,
ENSMUSG00000025135	anaphase promoting complex subunit 11	Mus musculus	anapc11,
ENSMUSG00000035048	anaphase promoting complex subunit 13	Mus musculus	ANAPC13,
ENSMUSG00000026965	anaphase promoting complex subunit 2	Mus musculus	ANAPC2,
ENSMUSG00000029176	anaphase promoting complex subunit 4	Mus musculus	Anapc4,
ENSMUSG00000029466	anaphase promoting complex subunit 7	Mus musculus	anapc7,
ENSMUSG00000029472	anaphase-promoting complex subunit 5; similar to anaphase-promoting complex subunit 5	Mus musculus	ANAPC5,LOC100046211,
ENSMUSG00000036777	anillin, actin binding protein	Mus musculus	Anln,
ENSMUSG00000029501	ankyrin repeat and LEM domain containing 2	Mus musculus	Ankle2,
ENSMUSG00000031508	ankyrin repeat domain 10	Mus musculus	ANKRD10,
ENSMUSG00000033055	ankyrin repeat domain 54	Mus musculus	Ankrd54,
ENSMUSG00000024659	annexin A1	Mus musculus	ANXA1,
ENSMUSG00000021866	annexin A11; predicted gene 2260; predicted gene 2274	Mus musculus	anxa11,Gm2260,Gm2274,
ENSMUSG00000021950	annexin A8	Mus musculus	ANXA8,
ENSMUSG00000031004	antigen identified by monoclonal antibody Ki 67	Mus musculus	MKI67,
ENSMUSG00000073705	apoptosis-inducing, TAF9-like domain 1	Mus musculus	Apitd1,
ENSMUSG00000025269	apurinic/apyrimidinic endonuclease 2	Mus musculus	apex2,
ENSMUSG00000040459	arginine and glutamate rich 1	Mus musculus	arglu1,
ENSMUSG00000018821	arginine vasopressin-induced 1	Mus musculus	AVPI1,
ENSMUSG00000019256	aryl-hydrocarbon receptor	Mus musculus	ahr,
ENSMUSG00000033952	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	Mus musculus	ASPM,
ENSMUSG00000034218	ataxia telangiectasia mutated homolog (human)	Mus musculus	ATM,
ENSMUSG00000059811	atlastin GTPase 2	Mus musculus	atl2,
ENSMUSG00000027496	aurora kinase A	Mus musculus	AURKA,
ENSMUSG00000020897	aurora kinase B	Mus musculus	AURKB,
ENSMUSG00000057367	baculoviral IAP repeat-containing 2	Mus musculus	birc2,
ENSMUSG00000017716	baculoviral IAP repeat-containing 5	Mus musculus	BIRC5,
ENSMUSG00000024073	baculoviral IAP repeat-containing 6	Mus musculus	birc6,
ENSMUSG00000041684	basic, immunoglobulin-like variable motif containing	Mus musculus	BIVM,
ENSMUSG00000035086	beclin 1, autophagy related	Mus musculus	BECN1,
ENSMUSG00000042750	brain expressed X-linked 2	Mus musculus	BEX2,
ENSMUSG00000017146	breast cancer 1	Mus musculus	BRCA1,
ENSMUSG00000041147	breast cancer 2	Mus musculus	Brca2,
ENSMUSG00000022089	bridging integrator 3	Mus musculus	BIN3,
ENSMUSG00000022914	bromodomain and WD repeat domain containing 1	Mus musculus	BRWD1,
ENSMUSG00000031660	bromodomain containing 7	Mus musculus	BRD7,
ENSMUSG00000003778	bromodomain containing 8	Mus musculus	BRD8,
ENSMUSG00000027379	budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	Mus musculus	BUB1,
ENSMUSG00000040084	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	Mus musculus	BUB1B,
ENSMUSG00000066979	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	Mus musculus	Bub3,
ENSMUSG00000007656	cAMP-regulated phosphoprotein 19	Mus musculus	ARPP19,
ENSMUSG00000026851	cDNA sequence BC005624; predicted gene 5904	Mus musculus	BC005624,Gm5904,
ENSMUSG00000079555	cDNA sequence BC023882	Mus musculus	haus3,
ENSMUSG00000034858	cDNA sequence BC031353	Mus musculus	BC031353,
ENSMUSG00000008393	calcium regulated heat stable protein 1; predicted gene 9791	Mus musculus	carhsp1,Gm9791,
ENSMUSG00000030272	calcium/calmodulin-dependent protein kinase I	Mus musculus	camk1,
ENSMUSG00000021585	calpastatin	Mus musculus	cast,
ENSMUSG00000027326	cancer susceptibility candidate 5	Mus musculus	CASC5,
ENSMUSG00000024576	casein kinase 1, alpha 1	Mus musculus	csnk1a1,
ENSMUSG00000074698	casein kinase 2, alpha 1 polypeptide; predicted gene 10031; similar to casein kinase II, alpha 1 polypeptide	Mus musculus	Csnk2a1,Gm10031,LOC677611,
ENSMUSG00000046707	casein kinase 2, alpha prime polypeptide; similar to casein kinase II, alpha prime subunit	Mus musculus	csnk2a2,LOC100046483,
ENSMUSG00000029863	caspase 2	Mus musculus	CASP2,
ENSMUSG00000031628	caspase 3	Mus musculus	Casp3,
ENSMUSG00000028282	caspase 8 associated protein 2	Mus musculus	Casp8ap2,
ENSMUSG00000037815	catenin (cadherin associated protein), alpha 1	Mus musculus	Ctnna1,
ENSMUSG00000021483	cell cycle related kinase	Mus musculus	CDK20,
ENSMUSG00000039128	cell division cycle 123 homolog (S. cerevisiae)	Mus musculus	Cdc123,
ENSMUSG00000019942	cell division cycle 2 homolog A (S. pombe)	Mus musculus	Cdk1,
ENSMUSG00000029062	cell division cycle 2-like 1	Mus musculus	Cdk11b,
ENSMUSG00000006398	cell division cycle 20 homolog (S. cerevisiae)	Mus musculus	cdc20,
ENSMUSG00000032477	cell division cycle 25 homolog A (S. pombe)	Mus musculus	CDC25A,
ENSMUSG00000027330	cell division cycle 25 homolog B (S. pombe)	Mus musculus	Cdc25b,
ENSMUSG00000044201	cell division cycle 25 homolog C (S. pombe)	Mus musculus	CDC25C,
ENSMUSG00000066149	cell division cycle 26; predicted gene 9174	Mus musculus	CDC26,Gm9174,
ENSMUSG00000020687	cell division cycle 27 homolog (S. cerevisiae)	Mus musculus	cdc27,
ENSMUSG00000020307	cell division cycle 34 homolog (S. cerevisiae); similar to Cell division cycle 34 homolog (S. cerevisiae)	Mus musculus	CDC34,LOC100046898,
ENSMUSG00000000028	cell division cycle 45 homolog (S. cerevisiae)-like	Mus musculus	Cdc45,
ENSMUSG00000017499	cell division cycle 6 homolog (S. cerevisiae); predicted gene 9430; similar to cell division cycle 6 homolog	Mus musculus	cdc6,Gm9430,LOC100045371,
ENSMUSG00000029283	cell division cycle 7 (S. cerevisiae)	Mus musculus	CDC7,
ENSMUSG00000026361	cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	Mus musculus	Cdc73,
ENSMUSG00000020074	cell division cycle and apoptosis regulator 1	Mus musculus	Ccar1,
ENSMUSG00000048922	cell division cycle associated 2	Mus musculus	Cdca2,
ENSMUSG00000023505	cell division cycle associated 3	Mus musculus	Cdca3,
ENSMUSG00000024791	cell division cycle associated 5	Mus musculus	CDCA5,
ENSMUSG00000055612	cell division cycle associated 7	Mus musculus	cdca7,
ENSMUSG00000021175	cell division cycle associated 7 like	Mus musculus	CDCA7L,
ENSMUSG00000028873	cell division cycle associated 8	Mus musculus	CDCA8,
ENSMUSG00000050996	centrin 1	Mus musculus	cetn1,
ENSMUSG00000031347	centrin 2	Mus musculus	CETN2,
ENSMUSG00000021537	centrin 3	Mus musculus	CETN3,
ENSMUSG00000032782	centrobin, centrosomal BRCA2 interacting protein	Mus musculus	CNTROB,
